"","st_louis_fed","censusyear","county","industrycode","total_output_value"
"343",0,1929,"Adams","101",132956
"344",0,1931,"Adams","101",98647
"345",0,1929,"Adams","136",102140
"346",0,1931,"Adams","136",73300
"347",0,1929,"Adams","119",73828
"348",0,1931,"Adams","119",35085
"349",0,1929,"Adams","520",25000
"350",0,1931,"Adams","520",19177
"351",0,1929,"Hinds","101",55000
"352",0,1931,"Hinds","101",25600
"353",0,1929,"Warren","101",35806
"354",0,1931,"Warren","101",19426
"355",1,1931,"Attala","101",8500
"356",1,1929,"Bolivar","101",33858
"357",1,1931,"Bolivar","101",9700
"358",0,1929,"Jones","101",57892
"359",0,1931,"Jones","101",21730
"360",1,1929,"Lafayette","119",14891
"361",1,1931,"Lafayette","119",9075
"362",0,1929,"Newton","119",16386
"363",0,1931,"Newton","119",11084
"364",0,1929,"Newton","101",81532
"365",0,1931,"Forrest","317",81637
"366",0,1931,"Newton","614",100969
"367",0,1931,"Forrest","1677",8600
"368",1,1931,"Leflore","101",11679
"369",0,1931,"Jones","1676",27728
"370",0,1929,"Jones","520",7416
"371",0,1931,"Jones","520",6506
"372",0,1931,"Hinds","1677",10500
"373",0,1929,"Marion","118",22200
"374",0,1931,"Marion","118",15457
"375",0,1931,"Lauderdale","1677",8636
"376",0,1931,"Rankin","119",7000
"377",0,1929,"Neshoba","101",42288
"378",0,1931,"Neshoba","101",18112
"379",0,1931,"Forrest","1677",15032
"380",0,1931,"Pearl River","101",25724
"381",0,1931,"Pearl River","119",9500
"382",1,1929,"Coahoma","622",2328304
"383",1,1931,"Coahoma","622",1513580
"384",1,1929,"Sunflower","622",583904
"385",1,1931,"Sunflower","622",405159
"386",0,1931,"Yazoo","622",358356
"387",1,1929,"Attala","622",537249
"388",1,1931,"Attala","622",250162
"389",1,1929,"Tunica","622",384059
"390",1,1931,"Tunica","622",402588
"391",1,1929,"Leflore","622",1743234
"392",1,1931,"Leflore","622",832475
"393",0,1929,"Jefferson Davis","136",10000
"394",0,1929,"Marion","119",24105
"395",0,1931,"Marion","119",17352
"396",1,1929,"Alcorn","119",24300
"397",0,1931,"Adams","119",9975
"398",1,1929,"Pontotoc","622",303182
"399",1,1931,"Pontotoc","622",235249
"400",1,1929,"Pontotoc","119",12257
"401",1,1931,"Pontotoc","119",5745
"402",0,1929,"Claiborne","622",1063190
"403",0,1931,"Claiborne","622",893210
"404",0,1931,"Hinds","520",22424
"405",0,1929,"Hinds","136",52500
"406",0,1931,"Hinds","136",36685
"407",1,1931,"Alcorn","1676",34000
"408",0,1931,"Lauderdale","1604",28203
"409",1,1931,"Lowndes","119",17525
"410",0,1931,"Lauderdale","1677",18252
"411",0,1929,"Perry","119",11094
"412",0,1931,"Perry","119",5760
"413",1,1931,"Tippah","119",7406
"414",0,1929,"Sharkey","119",10959
"415",0,1931,"Sharkey","119",9000
"416",1,1929,"Washington","119",26137
"417",1,1931,"Bolivar","119",13184
"418",1,1931,"Bolivar","1676",11700
"419",0,1929,"Lauderdale","114",861940
"420",0,1931,"Lauderdale","114",804438
"421",1,1929,"Sunflower","119",16000
"422",1,1931,"Sunflower","119",9870
"423",0,1929,"Adams","112",102326
"424",0,1931,"Adams","112",61022
"425",1,1929,"Panola","103",83292
"426",1,1931,"Panola","103",44336
"427",0,1929,"Jackson","136",17976
"428",0,1931,"Jackson","136",5504
"429",0,1929,"Madison","136",6540
"430",0,1931,"Madison","136",5612
"431",1,1929,"Tate","119",12000
"432",1,1931,"Tate","119",10200
"433",1,1929,"Bolivar","622",395841
"434",1,1931,"Bolivar","622",260793
"435",1,1931,"Leflore","1677",16941
"436",0,1931,"Sharkey","1677",8093
"437",0,1929,"Jones","136",53344
"438",0,1931,"Jones","136",197203
"439",0,1929,"Lauderdale","136",128210
"440",0,1931,"Lauderdale","136",181280
"441",0,1929,"Jones","520",27954
"442",0,1931,"Jones","520",19849
"443",0,1931,"Jackson","1676",15000
"444",0,1931,"Hinds","622",498783
"445",1,1929,"Grenada","136",24406
"446",1,1931,"Grenada","136",12520
"447",1,1931,"Grenada","1677",15556
"448",1,1929,"Oktibbeha","101",44818
"449",1,1931,"Oktibbeha","101",29588
"450",0,1931,"Clarke","216",1260251
"451",1,1929,"Sunflower","622",539528
"452",1,1931,"Sunflower","622",324613
"453",1,1931,"Coahoma","1676",68943
"454",0,1931,"Lauderdale","136",24085
"455",0,1929,"Harrison","136",42698
"456",0,1931,"Harrison","136",34832
"457",0,1929,"Hinds","136",13025
"458",0,1931,"Hinds","136",12460
"459",1,1931,"Leflore","1303",240000
"460",1,1929,"Tallahatchie","119",14135
"461",1,1931,"Tallahatchie","119",7812
"462",1,1929,"Tallahatchie","622",949014
"463",1,1931,"Tallahatchie","622",383145
"464",1,1931,"Leflore","520",8592
"465",1,1929,"Attala","515",11471
"466",0,1929,"Hinds","114",1452700
"467",0,1931,"Hinds","114",443456
"468",1,1929,"Washington","136",45000
"469",0,1929,"Jones","114",1551000
"470",0,1931,"Jones","114",1053557
"471",0,1929,"Harrison","112",15100
"472",0,1931,"Harrison","112",10491
"473",1,1929,"Alcorn","520",21000
"474",1,1931,"Alcorn","520",15763
"475",1,1929,"Bolivar","622",761607
"476",1,1931,"Bolivar","622",258361
"477",0,1929,"Warren","622",618483
"478",0,1931,"Warren","622",271584
"479",0,1929,"Harrison","136",57000
"480",0,1931,"Harrison","136",45773
"481",0,1931,"Amite","105",5350
"482",1,1931,"Tunica","1677",7171
"483",1,1931,"Lee","216",770149
"484",1,1929,"Lee","119",44490
"485",1,1931,"Lee","119",27373
"486",1,1931,"Lee","1676",34115
"487",0,1929,"Newton","622",68480
"488",0,1931,"Newton","622",89776
"489",0,1931,"Warren","1676",183356
"490",1,1929,"Monroe","118",18812
"491",1,1931,"Monroe","118",8924
"492",1,1929,"Grenada","520",16381
"493",1,1931,"Grenada","520",10396
"494",1,1931,"Yalobusha","1676",16362
"495",1,1929,"Clay","101",37913
"496",1,1931,"Clay","622",202262
"497",1,1929,"Clay","119",21696
"498",1,1931,"Clay","119",17000
"499",1,1929,"Clay","622",164795
"500",1,1931,"Clay","101",26957
"501",1,1929,"Clay","136",42000
"502",1,1931,"Clay","136",21600
"503",1,1931,"Montgomery","614",10471
"504",1,1929,"Montgomery","622",227844
"505",1,1931,"Montgomery","622",184745
"506",0,1929,"Yazoo","119",50525
"507",0,1931,"Yazoo","119",32993
"508",0,1929,"Yazoo","101",77958
"509",0,1931,"Yazoo","101",52487
"510",1,1931,"Chickasaw","136",10000
"511",0,1931,"Hinds","614",391046
"512",1,1929,"Prentiss","119",13967
"513",1,1931,"Prentiss","119",10253
"514",1,1931,"Holmes","1502",51399
"515",0,1929,"Warren","520",20712
"516",0,1931,"Warren","520",18611
"517",1,1931,"Lee","101",23438
"518",1,1929,"Coahoma","118",88118
"519",1,1931,"Coahoma","118",29000
"520",1,1929,"Lee","118",85218
"521",1,1931,"Lee","118",45939
"522",0,1929,"Adams","101",18918
"523",0,1931,"Adams","101",12650
"524",0,1929,"Harrison","118",53100
"525",0,1931,"Harrison","118",28773
"526",0,1931,"Stone","105",411939
"527",0,1929,"Harrison","104",12523
"528",0,1931,"Harrison","104",35598
"529",1,1929,"Grenada","118",19736
"530",1,1931,"Grenada","118",5460
"531",1,1929,"Lowndes","119",29200
"532",1,1931,"Lowndes","119",27856
"533",0,1929,"Warren","119",73500
"534",0,1931,"Warren","119",64578
"535",1,1931,"Bolivar","1676",25000
"536",1,1931,"Alcorn","622",441417
"537",0,1929,"Hinds","622",68795
"538",0,1931,"Hinds","622",344620
"539",1,1929,"Yalobusha","136",54000
"540",1,1931,"Yalobusha","136",8400
